date,flow
2020-04-09 17:22:49.944364,13559.989
2020-04-09 17:22:49.969445,20035.479
2020-04-09 17:22:49.998450,16638.826
2020-04-09 17:22:50.027918,15032.209
2020-04-09 17:22:50.058942,17313.402
2020-04-09 17:22:50.090072,17391.59
2020-04-09 17:22:50.120404,18360.809
2020-04-09 17:22:50.148940,17350.836
2020-04-09 17:22:50.179412,20498.682
2020-04-09 17:22:50.209244,17700.309
2020-04-09 17:22:50.236626,18640.92
2020-04-09 17:22:50.261073,19102.377
2020-04-09 17:22:50.286088,21957.27
2020-04-09 17:22:50.315794,16419.492
2020-04-09 17:22:50.345056,15401.3125
2020-04-09 17:22:50.375368,11335.795
2020-04-09 17:22:50.404749,12728.483
2020-04-09 17:22:50.437577,10955.749
2020-04-09 17:22:50.464426,6986.8076
2020-04-09 17:22:50.495043,6806.8613
2020-04-09 17:22:50.525072,7554.083
2020-04-09 17:22:50.555239,10809.149
2020-04-09 17:22:50.585763,15810.5625
2020-04-09 17:22:50.615839,25528.674
2020-04-09 17:22:50.645413,22828.908
2020-04-09 17:22:50.675795,23550.203
2020-04-09 17:22:50.705548,21880.113
2020-04-09 17:22:50.736118,22349.4
2020-04-09 17:22:50.765854,22119.502
2020-04-09 17:22:50.795036,25583.992
2020-04-09 17:22:50.825581,26039.045
2020-04-09 17:22:50.856590,25630.021
2020-04-09 17:22:50.886218,31515.9
2020-04-09 17:22:50.915649,25546.574
2020-04-09 17:22:50.945659,24806.084
2020-04-09 17:22:50.976361,25521.027
2020-04-09 17:22:51.006351,24640.244
2020-04-09 17:22:51.035933,23890.627
2020-04-09 17:22:51.065598,19671.332
2020-04-09 17:22:51.096461,17973.418
2020-04-09 17:22:51.126092,10146.599
2020-04-09 17:22:51.156492,5170.5664
2020-04-09 17:22:51.187747,4860.0347
2020-04-09 17:22:51.217951,3430.7874
2020-04-09 17:22:51.246885,4199.3486
2020-04-09 17:22:51.277391,3288.28
2020-04-09 17:22:51.307692,5423.3906
2020-04-09 17:22:51.337741,8231.518
2020-04-09 17:22:51.365947,7850.617
2020-04-09 17:22:51.396674,3579.563
2020-04-09 17:22:51.426675,5800.769
2020-04-09 17:22:51.456573,10478.432
2020-04-09 17:22:51.486864,6540.331
2020-04-09 17:22:51.517020,9497.406
2020-04-09 17:22:51.549304,13228.666
2020-04-09 17:22:51.577475,16779.895
2020-04-09 17:22:51.604460,18443.465
2020-04-09 17:22:51.636613,15462.35
2020-04-09 17:22:51.669912,12142.426
2020-04-09 17:22:51.697864,12589.758
2020-04-09 17:22:51.730146,12483.019
2020-04-09 17:22:51.757835,17294.816
2020-04-09 17:22:51.788374,20113.035
2020-04-09 17:22:51.818289,17255.354
2020-04-09 17:22:51.845897,10672.025
2020-04-09 17:22:51.871979,8258.861
2020-04-09 17:22:51.900258,6806.814
2020-04-09 17:22:51.925107,3024.3716
2020-04-09 17:22:51.955243,4772.3457
2020-04-09 17:22:51.985090,7475.4736
2020-04-09 17:22:52.014115,9212.623
2020-04-09 17:22:52.044944,6942.717
2020-04-09 17:22:52.070770,4520.5854
2020-04-09 17:22:52.095708,4097.6577
2020-04-09 17:22:52.121135,4168.5283
2020-04-09 17:22:52.148720,3782.3237
2020-04-09 17:22:52.178765,3867.41
2020-04-09 17:22:52.208899,3504.2007
2020-04-09 17:22:52.240400,3439.1912
2020-04-09 17:22:52.270474,3088.5688
2020-04-09 17:22:52.299207,2248.4067
2020-04-09 17:22:52.329469,4310.061
2020-04-09 17:22:52.361482,4013.7336
2020-04-09 17:22:52.389041,4677.2227
2020-04-09 17:22:52.422327,6246.52
2020-04-09 17:22:52.452009,8035.0312
2020-04-09 17:22:52.482088,8466.45
2020-04-09 17:22:52.510502,6902.326
2020-04-09 17:22:52.540521,4125.4214
2020-04-09 17:22:52.571687,5007.764
2020-04-09 17:22:52.601431,7168.83
2020-04-09 17:22:52.630832,7396.344
2020-04-09 17:22:52.662057,6582.9272
2020-04-09 17:22:52.687976,9338.152
2020-04-09 17:22:52.714362,12841.283
2020-04-09 17:22:52.742763,12096.176
2020-04-09 17:22:52.773258,10238.68
2020-04-09 17:22:52.798946,8544.649
2020-04-09 17:22:52.828180,4559.6187
2020-04-09 17:22:52.856302,3618.7812
2020-04-09 17:22:52.886435,4803
2020-04-09 17:22:52.917014,7895.4277
2020-04-09 17:22:52.946072,11288.247
2020-04-09 17:22:52.977566,12897.257
2020-04-09 17:22:53.005037,17467.82
2020-04-09 17:22:53.039016,17028.906
2020-04-09 17:22:53.067394,19153.584
2020-04-09 17:22:53.098428,20333.559
2020-04-09 17:22:53.127673,16817.438
2020-04-09 17:22:53.153897,19885.38
2020-04-09 17:22:53.187749,17551.576
2020-04-09 17:22:53.218102,20621.32
2020-04-09 17:22:53.248788,18178.096
2020-04-09 17:22:53.280081,19161.307
2020-04-09 17:22:53.308672,22721.812
2020-04-09 17:22:53.339701,23365.055
2020-04-09 17:22:53.370708,20736.312
2020-04-09 17:22:53.400619,23762.912
2020-04-09 17:22:53.429190,28056.598
2020-04-09 17:22:53.460069,19297.291
2020-04-09 17:22:53.491075,20469.008
2020-04-09 17:22:53.523423,16225.818
2020-04-09 17:22:53.550343,21117.453
2020-04-09 17:22:53.580090,28506.668
2020-04-09 17:22:53.609484,19094.535
2020-04-09 17:22:53.641688,21264.852
2020-04-09 17:22:53.673857,20293.54
2020-04-09 17:22:53.699986,20688.781
2020-04-09 17:22:53.731048,23502.848
2020-04-09 17:22:53.761092,21252.352
2020-04-09 17:22:53.787301,22784.037
2020-04-09 17:22:53.812435,22544.154
2020-04-09 17:22:53.841452,20086.188
2020-04-09 17:22:53.869547,26465.992
2020-04-09 17:22:53.896922,19824.523
2020-04-09 17:22:53.927963,12995.394
2020-04-09 17:22:53.957676,9513.57
2020-04-09 17:22:53.988254,8281.108
2020-04-09 17:22:54.018629,4490.2354
2020-04-09 17:22:54.047086,6684.6475
2020-04-09 17:22:54.078747,7315.997
2020-04-09 17:22:54.104233,4282.7227
2020-04-09 17:22:54.130901,10210.405
2020-04-09 17:22:54.159079,9595.925
2020-04-09 17:22:54.186570,5912.3335
2020-04-09 17:22:54.215255,5936.3105
2020-04-09 17:22:54.244873,8104.4277
2020-04-09 17:22:54.272014,8473.457
2020-04-09 17:22:54.304125,4901.3784
2020-04-09 17:22:54.334874,4940.832
2020-04-09 17:22:54.365191,4294.018
2020-04-09 17:22:54.396743,4029.2756
2020-04-09 17:22:54.427326,5564.578
2020-04-09 17:22:54.452251,6964.789
2020-04-09 17:22:54.478376,4535.922
2020-04-09 17:22:54.504784,3708.4395
2020-04-09 17:22:54.534378,3991.675
2020-04-09 17:22:54.562561,3425.0789
2020-04-09 17:22:54.593975,2735.3943
2020-04-09 17:22:54.624874,2879.8967
2020-04-09 17:22:54.653622,3290.8596
2020-04-09 17:22:54.684265,9619.118
2020-04-09 17:22:54.713457,13622.242
2020-04-09 17:22:54.743148,11540.076
2020-04-09 17:22:54.770984,6557.4937
2020-04-09 17:22:54.803621,4469.8555
2020-04-09 17:22:54.833593,7201.592
2020-04-09 17:22:54.863914,12058.352
2020-04-09 17:22:54.895275,14038.299
2020-04-09 17:22:54.919928,9076.063
2020-04-09 17:22:54.945634,6716.538
2020-04-09 17:22:54.973587,5402.744
2020-04-09 17:22:55.001983,3442.6868
2020-04-09 17:22:55.030176,4057.559
2020-04-09 17:22:55.059682,2930.5557
2020-04-09 17:22:55.088880,3213.1052
2020-04-09 17:22:55.121195,2937.3018
2020-04-09 17:22:55.155193,3533.92
2020-04-09 17:22:55.185913,4095.1199
2020-04-09 17:22:55.215900,3584.7405
2020-04-09 17:22:55.240601,3735.6902
2020-04-09 17:22:55.273271,4539.017
2020-04-09 17:22:55.303907,4365.619
2020-04-09 17:22:55.335204,5437.4116
2020-04-09 17:22:55.363354,6887.1577
2020-04-09 17:22:55.393515,13504.506
2020-04-09 17:22:55.421713,14827.051
2020-04-09 17:22:55.453602,14089.52
2020-04-09 17:22:55.484520,12001.764
2020-04-09 17:22:55.513609,11706.139
2020-04-09 17:22:55.543990,12743.329
2020-04-09 17:22:55.573932,13832.248
2020-04-09 17:22:55.603693,14011.159
2020-04-09 17:22:55.634714,16685.889
2020-04-09 17:22:55.664120,16795.443
2020-04-09 17:22:55.693868,14344.321
2020-04-09 17:22:55.721459,16657.29
2020-04-09 17:22:55.754744,16515.273
2020-04-09 17:22:55.784159,19141.326
2020-04-09 17:22:55.815650,20627.752
2020-04-09 17:22:55.846306,22225.383
2020-04-09 17:22:55.876209,26135.064
2020-04-09 17:22:55.905914,22946.488
2020-04-09 17:22:55.938011,22395.09
2020-04-09 17:22:55.967331,25574.125
2020-04-09 17:22:55.996392,27515.459
2020-04-09 17:22:56.026815,25556.658
2020-04-09 17:22:56.056440,19586.672
2020-04-09 17:22:56.086625,23862.492
2020-04-09 17:22:56.116901,19354.271
2020-04-09 17:22:56.147550,24027.45
2020-04-09 17:22:56.178977,17950.73
2020-04-09 17:22:56.207671,15991.861
2020-04-09 17:22:56.238208,18643.316
2020-04-09 17:22:56.269373,14465.844
2020-04-09 17:22:56.298394,15903.13
2020-04-09 17:22:56.329645,19358.285
2020-04-09 17:22:56.359417,16076.107
2020-04-09 17:22:56.390527,17750.482
2020-04-09 17:22:56.419580,17216.662
2020-04-09 17:22:56.449992,19746.1
2020-04-09 17:22:56.480270,20324.75
2020-04-09 17:22:56.511802,18126.229
2020-04-09 17:22:56.537608,20082.354
2020-04-09 17:22:56.564622,21281.004
2020-04-09 17:22:56.593546,20856.629
2020-04-09 17:22:56.618986,19512.19
2020-04-09 17:22:56.646266,18671.402
2020-04-09 17:22:56.676858,23065.639
2020-04-09 17:22:56.707850,21226.098
2020-04-09 17:22:56.739665,24467.04
2020-04-09 17:22:56.767408,21127.87
2020-04-09 17:22:56.797749,15168.312
2020-04-09 17:22:56.827328,15405.933
2020-04-09 17:22:56.852490,8474.64
2020-04-09 17:22:56.877739,5319.378
2020-04-09 17:22:56.902497,4511.882
2020-04-09 17:22:56.932051,4493.7427
2020-04-09 17:22:56.962750,4448.568
2020-04-09 17:22:56.994017,5209.3403
2020-04-09 17:22:57.024520,5022.7656
2020-04-09 17:22:57.053461,4033.8213
2020-04-09 17:22:57.084160,3100.9019
2020-04-09 17:22:57.114542,2594.7612
2020-04-09 17:22:57.143163,3255.0588
2020-04-09 17:22:57.173646,4276.852
2020-04-09 17:22:57.203008,7382.3496
2020-04-09 17:22:57.234043,5691.3384
2020-04-09 17:22:57.262897,6685.5356
2020-04-09 17:22:57.293293,5942.2383
2020-04-09 17:22:57.320723,5176.824
2020-04-09 17:22:57.345750,3745.0005
2020-04-09 17:22:57.375304,3791.454
2020-04-09 17:22:57.403362,4248.162
2020-04-09 17:22:57.430249,4848.262
2020-04-09 17:22:57.459666,5072.8145
2020-04-09 17:22:57.490519,6466.487
2020-04-09 17:22:57.520981,6325.901
2020-04-09 17:22:57.550312,4566.551
