time,x,y,distance,velocity
31.5,10.5092,4.90662,0.0733943,0.733943
31.6,10.4092,4.88154,0.103179,1.03179
31.7,10.5206,4.93361,0.12296,1.2296
31.8,10.6281,5.06785,0.172028,1.72028
31.9,10.6296,5.10907,0.0412417,0.412417
32,10.6924,5.14994,0.0748948,0.748948
32.1,10.7037,5.16784,0.0211762,0.211762
32.2,10.7555,5.23423,0.08418,0.8418
32.3,10.6849,5.28746,0.088418,0.88418
32.4,10.732,5.34446,0.0739876,0.739876
32.5,10.7641,5.43988,0.100662,1.00662
32.6,10.8483,5.41719,0.0872453,0.872453
32.7,10.8543,5.40382,0.0146686,0.146686
32.8,10.976,5.33419,0.140134,1.40134
32.9,11.1299,5.39488,0.165485,1.65485
33,11.2154,5.35902,0.0927205,0.927205
33.1,11.1528,5.31097,0.0789245,0.789245
33.2,10.9717,5.22876,0.198904,1.98904
33.3,10.3789,5.21594,0.592958,5.92958
33.4,10.1247,5.19982,0.254644,2.54644
33.5,9.86135,4.97948,0.343402,3.43402
33.6,9.71496,4.99676,0.147404,1.47404
33.7,9.72459,4.98839,0.0127536,0.127536
33.8,9.54357,5.21771,0.292155,2.92155
33.9,9.48236,5.12962,0.107268,1.07268
34,9.34709,5.05704,0.153513,1.53513
34.1,8.98639,4.63281,0.556841,5.56841
34.2,8.51079,4.10938,0.707231,7.07231
34.3,8.00652,3.80412,0.589464,5.89464
34.4,8.0987,3.93574,0.160681,1.60681
34.5,8.11717,4.02148,0.0877131,0.877131
34.6,7.93736,4.04503,0.181345,1.81345
34.7,7.06369,4.03956,0.873684,8.73684
34.8,5.80544,3.94206,1.26202,12.6202
34.9,5.10777,4.02115,0.702143,7.02143
35,4.00895,4.06952,1.09988,10.9988
35.1,2.86639,4.0362,1.14305,11.4305
35.2,1.6263,4.39106,1.28987,12.8987
35.3,0.00571388,4.31115,1.62255,16.2255
35.4,-1.40491,4.50848,1.42436,14.2436
35.5,-2.75285,4.60407,1.35133,13.5133
35.6,-3.74779,4.62465,0.995153,9.95153
35.7,-4.12168,4.91201,0.471567,4.71567
35.8,-4.47114,5.05517,0.377639,3.77639
35.9,-4.87296,5.10164,0.404502,4.04502
36,-5.86648,5.13266,0.994002,9.94002
36.1,-6.69373,5.23498,0.833554,8.33554
36.2,-6.7837,5.37127,0.163306,1.63306
36.3,-6.70716,5.34356,0.081402,0.81402
36.4,-6.50537,5.33589,0.201936,2.01936
36.5,-6.47766,5.3483,0.0303577,0.303577
